Word                          Rank           Frequency      Rank*Frequency      
portatori                     4491           3              13473               
luisione                      4492           3              13476               
allestiti                     4493           3              13479               
stenti                        4494           3              13482               
brutalità                     4495           3              13485               
uidere                        4496           3              13488               
ebraihe                       4497           3              13491               
giustiziati                   4498           3              13494               
deportate                     4499           3              13497               
villaggi                      4500           3              13500               
svariati                      4501           3              13503               
mahiarono                     4502           3              13506               
formali                       4503           3              13509               
rastrellati                   4504           3              13512               
detenuti                      4505           3              13515               
stupro                        4506           3              13518               
saheggi                       4507           3              13521               
giulia                        4508           3              13524               
profughi                      4509           3              13527               
sfollati                      4510           3              13530               
kms                           4511           3              13533               
soperti                       4512           3              13536               
dellorbita                    4513           3              13539               
gialla                        4514           3              13542               
lafelio                       4515           3              13545               
lune                          4516           3              13548               
nessuno                       4517           3              13551               
deimos                        4518           3              13554               
titano                        4519           3              13557               
tritone                       4520           3              13560               
eentria                       4521           3              13563               
allelittia                    4522           3              13566               
galassia                      4523           3              13569               
irradia                       4524           3              13572               
eliopausa                     4525           3              13575               
siliati                       4526           3              13578               
possiedono                    4527           3              13581               
plutini                       4528           3              13584               
termination                   4529           3              13587               
voyager                       4530           3              13590               
leliopausa                    4531           3              13593               
sonda                         4532           3              13596               
delloggetto                   4533           3              13599               
cizio                         4534           3              13602               
saturise                      4535           3              13605               
cleante                       4536           3              13608               
crisippo                      4537           3              13611               
gnoseologia                   4538           3              13614               
dialettia                     4539           3              13617               
pensieri                      4540           3              13620               
eterno                        4541           3              13623               
logos                         4542           3              13626               
dellanima                     4543           3              13629               
apparire                      4544           3              13632               
feliità                       4545           3              13635               
voll                          4546           3              13638               
stoa                          4547           3              13641               
bibliopolis                   4548           3              13644               
stoiism                       4549           3              13647               
riorrono                      4550           2              9100                
onsultazione                  4551           2              9102                
aratterizzate                 4552           2              9104                
governare                     4553           2              9106                
riguardare                    4554           2              9108                
ristretta                     4555           2              9110                
califfi                       4556           2              9112                
aliffi                        4557           2              9114                
guidati                       4558           2              9116                
teoratia                      4559           2              9118                
approfonditamente             4560           2              9120                
dialogo                       4561           2              9122                
massimi                       4562           2              9124                
dellepoa                      4563           2              9126                
tirannide                     4564           2              9128                
iv                            4565           2              9130                
polibio                       4566           2              9132                
negative                      4567           2              9134                
olorazia                      4568           2              9136                
ombina                        4569           2              9138                
sullargomento                 4570           2              9140                
inserito                      4571           2              9142                
καὶ                           4572           2              9144                
emotive                       4573           2              9146                
risalgono                     4574           2              9148                
uguaglianza                   4575           2              9150                
isonomia                      4576           2              9152                
ondivide                      4577           2              9154                
attribuita                    4578           2              9156                
onordia                       4579           2              9158                
omparve                       4580           2              9160                
pubbliata                     4581           2              9162                
jeanjaques                    4582           2              9164                
giudiziario                   4583           2              9166                
appliabile                    4584           2              9168                
sintetio                      4585           2              9170                
lassemblea                    4586           2              9172                
mani                          4587           2              9174                
eletti                        4588           2              9176                
unassemblea                   4589           2              9178                
desrizione                    4590           2              9180                
parteipativa                  4591           2              9182                
fornisono                     4592           2              9184                
attribuire                    4593           2              9186                
web                           4594           2              9188                
lelezione                     4595           2              9190                
avveniva                      4596           2              9192                
votazioni                     4597           2              9194                
parlamentare                  4598           2              9196                
unii                          4599           2              9198                
petizione                     4600           2              9200                
sintende                      4601           2              9202                
aanto                         4602           2              9204                
onsistente                    4603           2              9206                
progressiva                   4604           2              9208                
xviii                         4605           2              9210                
onludere                      4606           2              9212                
sanitaria                     4607           2              9214                
ulturali                      4608           2              9216                
sessuali                      4609           2              9218                
negativi                      4610           2              9220                
sollevato                     4611           2              9222                
dibattiti                     4612           2              9224                
brasile                       4613           2              9226                
paulo                         4614           2              9228                
bittar                        4615           2              9230                
vissuto                       4616           2              9232                
ritrova                       4617           2              9234                
timorazia                     4618           2              9236                
inevitabile                   4619           2              9238                
rishiavano                    4620           2              9240                
degenerare                    4621           2              9242                
autoritario                   4622           2              9244                
parità                        4623           2              9246                
sorteggio                     4624           2              9248                
preursori                     4625           2              9250                
imperatori                    4626           2              9252                
reggente                      4627           2              9254                
epohe                         4628           2              9256                
erta                          4629           2              9258                
islandese                     4630           2              9260                
onfederazione                 4631           2              9262                
nativi                        4632           2              9264                
laggiunta                     4633           2              9266                
larengo                       4634           2              9268                
doge                          4635           2              9270                
ostituì                       4636           2              9272                
ix                            4637           2              9274                
arengo                        4638           2              9276                
equivalente                   4639           2              9278                
marino                        4640           2              9280                
legislativi                   4641           2              9282                
giudiziari                    4642           2              9284                
ostituendo                    4643           2              9286                
onsigli                       4644           2              9288                
rivoluzioni                   4645           2              9290                
motto                         4646           2              9292                
arta                          4647           2              9294                
primato                       4648           2              9296                
aratteristia                  4649           2              9298                
laiità                        4650           2              9300                
debba                         4651           2              9302                
aggiungere                    4652           2              9304                
uninvenzione                  4653           2              9306                
delloidente                   4654           2              9308                
tolleranza                    4655           2              9310                
ita                           4656           2              9312                
ac                            4657           2              9314                
enrio                         4658           2              9316                
rusoni                        4659           2              9318                
kelsen                        4660           2              9320                
quantitativa                  4661           2              9322                
autorevole                    4662           2              9324                
qualitativa                   4663           2              9326                
constant                      4664           2              9328                
setteento                     4665           2              9330                
perorsi                       4666           2              9332                
osmopolita                    4667           2              9334                
fondano                       4668           2              9336                
andidati                      4669           2              9338                
raramente                     4670           2              9340                
quarti                        4671           2              9342                
repubbliana                   4672           2              9344                
comuni                        4673           2              9346                
realizzarsi                   4674           2              9348                
teleomuniazioni               4675           2              9350                
onsentire                     4676           2              9352                
allutilizzo                   4677           2              9354                
indire                        4678           2              9356                
interpreti                    4679           2              9358                
idea                          4680           2              9360                
laffermarsi                   4681           2              9362                
tendenzialmente               4682           2              9364                
orona                         4683           2              9366                
failitò                       4684           2              9368                
parlamentarismo               4685           2              9370                
innanzitutto                  4686           2              9372                
favorì                        4687           2              9374                
unalleanza                    4688           2              9376                
feudali                       4689           2              9378                
lassenza                      4690           2              9380                
operai                        4691           2              9382                
benito                        4692           2              9384                
erò                           4693           2              9386                
trenta                        4694           2              9388                
ventanni                      4695           2              9390                
leezione                      4696           2              9392                
bretagna                      4697           2              9394                
atlantia                      4698           2              9396                
deiso                         4699           2              9398                
battuta                       4700           2              9400                
ontemporaneo                  4701           2              9402                
stragrande                    4702           2              9404                
gradi                         4703           2              9406                
aratterizzare                 4704           2              9408                
speifiità                     4705           2              9410                
poliarhia                     4706           2              9412                
enti                          4707           2              9414                
eonomist                      4708           2              9416                
crouh                         4709           2              9418                
intermedia                    4710           2              9420                
riterio                       4711           2              9422                
aquisizione                   4712           2              9424                
insito                        4713           2              9426                
esserebbe                     4714           2              9428                
opponesse                     4715           2              9430                
religione                     4716           2              9432                
instaurare                    4717           2              9434                
teorazia                      4718           2              9436                
nellimmediato                 4719           2              9438                
desritto                      4720           2              9440                
erosione                      4721           2              9442                
lha                           4722           2              9444                
lassoiazionismo               4723           2              9446                
eventualmente                 4724           2              9448                
liberamente                   4725           2              9450                
impegnare                     4726           2              9452                
alexis                        4727           2              9454                
intermedi                     4728           2              9456                
pesi                          4729           2              9458                
protetta                      4730           2              9460                
valgono                       4731           2              9462                
voti                          4732           2              9464                
votante                       4733           2              9466                
problematihe                  4734           2              9468                
determina                     4735           2              9470                
minimi                        4736           2              9472                
permetta                      4737           2              9474                
lasiati                       4738           2              9476                
abbassando                    4739           2              9478                
irrilevanti                   4740           2              9480                
preferenze                    4741           2              9482                
indifferente                  4742           2              9484                
dittatorialità                4743           2              9486                
onfusione                     4744           2              9488                
potenzialmente                4745           2              9490                
onsigliere                    4746           2              9492                
perfetta                      4747           2              9494                
mihel                         4748           2              9496                
balinsky                      4749           2              9498                
peyton                        4750           2              9500                
young                         4751           2              9502                
seggi                         4752           2              9504                
perda                         4753           2              9506                
presunta                      4754           2              9508                
deisionale                    4755           2              9510                
lunghe                        4756           2              9512                
parlamentari                  4757           2              9514                
appello                       4758           2              9516                
ontestato                     4759           2              9518                
dilemma                       4760           2              9520                
giorgio                       4761           2              9522                
bibliotea                     4762           2              9524                
alberto                       4763           2              9526                
domenio                       4764           2              9528                
unidea                        4765           2              9530                
individual                    4766           2              9532                
values                        4767           2              9534                
canfora                       4768           2              9536                
demoraia                      4769           2              9538                
elinor                        4770           2              9540                
allen                         4771           2              9542                
revolution                    4772           2              9544                
stefano                       4773           2              9546                
hoie                          4774           2              9548                
critia                        4775           2              9550                
retoria                       4776           2              9552                
torto                         4777           2              9554                
yves                          4778           2              9556                
luiana                        4779           2              9558                
contro                        4780           2              9560                
lopinione                     4781           2              9562                
borghese                      4782           2              9564                
index                         4783           2              9566                
impero                        4784           2              9568                
hlsdhsdssh                    4785           2              9570                
zalta                         4786           2              9572                
center                        4787           2              9574                
study                         4788           2              9576                
csli                          4789           2              9578                
università                    4790           2              9580                
voem                          4791           2              9582                
supplemento                   4792           2              9584                
laido                         4793           2              9586                
sigla                         4794           2              9588                
dallinglese                   4795           2              9590                
nuleio                        4796           2              9592                
himio                         4797           2              9594                
polimero                      4798           2              9596                
adenina                       4799           2              9598                
omplementarità                4800           2              9600                
destinati                     4801           2              9602                
omplessa                      4802           2              9604                
organizzano                   4803           2              9606                
avvolgono                     4804           2              9608                
ordinate                      4805           2              9610                
guidano                       4806           2              9612                
friedrih                      4807           2              9614                
individuò                     4808           2              9616                
sostanza                      4809           2              9618                
levene                        4810           2              9620                
orto                          4811           2              9622                
ripetuto                      4812           2              9624                
asserì                        4813           2              9626                
quantistia                    4814           2              9628                
atomi                         4815           2              9630                
ristallo                      4816           2              9632                
smooth                        4817           2              9634                
rough                         4818           2              9636                
trasformante                  4819           2              9638                
provato                       4820           2              9640                
fago                          4821           2              9642                
presentarono                  4822           2              9644                
aertato                       4823           2              9646                
pittrie                       4824           2              9648                
riportate                     4825           2              9650                
pubbliati                     4826           2              9652                
raymond                       4827           2              9654                
onteneva                      4828           2              9656                
maurie                        4829           2              9658                
wilkins                       4830           2              9660                
pareri                        4831           2              9662                
propose                       4832           2              9664                
fissa                         4833           2              9666                
nirenberg                     4834           2              9668                
tripletta                     4835           2              9670                
larga                         4836           2              9672                
ångström                      4837           2              9674                
nanometri                     4838           2              9676                
nuleotidia                    4839           2              9678                
saldamente                    4840           2              9680                
laterale                      4841           2              9682                
alternate                     4842           2              9684                
pentoso                       4843           2              9686                
conseguenza                   4844           2              9688                
purinihe                      4845           2              9690                
norma                         4846           2              9692                
degradazione                  4847           2              9694                
enzimatia                     4848           2              9696                
ario                          4849           2              9698                
trna                          4850           2              9700                
destrorsa                     4851           2              9702                
restano                       4852           2              9704                
solhi                         4853           2              9706                
å                             4854           2              9708                
ampiezza                      4855           2              9710                
rotti                         4856           2              9712                
ontenute                      4857           2              9714                
dellelia                      4858           2              9716                
unelevata                     4859           2              9718                
batterii                      4860           2              9720                
laboratorio                   4861           2              9722                
dellinterazione               4862           2              9724                
stabilizzazione               4863           2              9726                
produendo                     4864           2              9728                
dellespressione               4865           2              9730                
plasmidi                      4866           2              9732                
odifiare                      4867           2              9734                
lette                         4868           2              9736                
→′                            4869           2              9738                
sovrapposizione               4870           2              9740                
oinvolta                      4871           2              9742                
genomihe                      4872           2              9744                
allasse                       4873           2              9746                
avvolge                       4874           2              9748                
lieve                         4875           2              9750                
adna                          4876           2              9752                
bdna                          4877           2              9754                
zdna                          4878           2              9756                
bp                            4879           2              9758                
fisiologihe                   4880           2              9760                
z                             4881           2              9762                
assume                        4882           2              9764                
andamento                     4883           2              9766                
allandamento                  4884           2              9768                
trovati                       4885           2              9770                
repliare                      4886           2              9772                
po                            4887           2              9774                
ostantemente                  4888           2              9776                
omposte                       4889           2              9778                
guanine                       4890           2              9780                
stabilizzate                  4891           2              9782                
ione                          4892           2              9784                
generano                      4893           2              9786                
lous                          4894           2              9788                
sarsa                         4895           2              9790                
assente                       4896           2              9792                
itosine                       4897           2              9794                
metilitosina                  4898           2              9796                
dallazione                    4899           2              9798                
raro                          4900           2              9800                
suddetta                      4901           2              9802                
vengano                       4902           2              9804                
superati                      4903           2              9806                
altamente                     4904           2              9808                
intrinsea                     4905           2              9810                
rivela                        4906           2              9812                
arrihito                      4907           2              9814                
figurano                      4908           2              9816                
ossidanti                     4909           2              9818                
radiazioni                    4910           2              9820                
uv                            4911           2              9822                
sottoposte                    4912           2              9824                
riparare                      4913           2              9826                
trasloazioni                  4914           2              9828                
romosomihe                    4915           2              9830                
interalanti                   4916           2              9832                
oorre                         4917           2              9834                
aumentano                     4918           2              9836                
inibire                       4919           2              9838                
onta                          4920           2              9840                
preise                        4921           2              9842                
disposto                      4922           2              9844                
ordinamento                   4923           2              9846                
aorgimenti                    4924           2              9848                
seri                          4925           2              9850                
mm                            4926           2              9852                
asualmente                    4927           2              9854                
bisogno                       4928           2              9856                
resiute                       4929           2              9858                
onsistono                     4930           2              9860                
positivamente                 4931           2              9862                
hns                           4932           2              9864                
dispongono                    4933           2              9866                
onservata                     4934           2              9868                
romatinihe                    4935           2              9870                
istonihe                      4936           2              9872                
hb                            4937           2              9874                
arihi                         4938           2              9876                
onservate                     4939           2              9878                
tessuti                       4940           2              9880                
sostituita                    4941           2              9882                
nuleosoma                     4942           2              9884                
trasmissione                  4943           2              9886                
opiata                        4944           2              9888                
sintetizzare                  4945           2              9890                
itoplasma                     4946           2              9892                
ereditarie                    4947           2              9894                
influire                      4948           2              9896                
tradotta                      4949           2              9898                
odifiano                      4950           2              9900                
pohissimi                     4951           2              9902                
nelluomo                      4952           2              9904                
ipotizzare                    4953           2              9906                
divergente                    4954           2              9908                
ribosoma                      4955           2              9910                
atalitia                      4956           2              9912                
lettura                       4957           2              9914                
favorendone                   4958           2              9916                
ostituite                     4959           2              9918                
uuu                           4960           2              9920                
\displaystyle                 4961           2              9922                
ambiguità                     4962           2              9924                
termina                       4963           2              9926                
parentale                     4964           2              9928                
identio                       4965           2              9930                
errori                        4966           2              9932                
portano                       4967           2              9934                
iniziare                      4968           2              9936                
lapertura                     4969           2              9938                
denaturazione                 4970           2              9940                
singlestrandbinding           4971           2              9942                
ssbps                         4972           2              9944                
porzioni                      4973           2              9946                
partono                       4974           2              9948                
forhe                         4975           2              9950                
inontrano                     4976           2              9952                
individuati                   4977           2              9954                
esattamente                   4978           2              9956                
indispensabile                4979           2              9958                
segmento                      4980           2              9960                
okazaki                       4981           2              9962                
inneso                        4982           2              9964                
ompletati                     4983           2              9966                
endonuleasi                   4984           2              9968                
aspeifihe                     4985           2              9970                
opiano                        4986           2              9972                
dueento                       4987           2              9974                
ompleti                       4988           2              9976                
metilazioni                   4989           2              9978                
aetilazioni                   4990           2              9980                
aessibile                     4991           2              9982                
impedendo                     4992           2              9984                
venga                         4993           2              9986                
bersaglio                     4994           2              9988                
multipli                      4995           2              9990                
aessibili                     4996           2              9992                
tagliano                      4997           2              9994                
orrispondenza                 4998           2              9996                
rionose                       4999           2              9998                
protegge                      5000           2              10000               
batteria                      5001           2              10002               
rionosono                     5002           2              10004               
nuleotidihe                   5003           2              10006               
palindromihe                  5004           2              10008               
segnalare                     5005           2              10010               
avvio                         5006           2              10012               
atp                           5007           2              10014               
lelia                         5008           2              10016               
proedere                      5009           2              10018               
spezzato                      5010           2              10020               
nuleosidi                     5011           2              10022               
funzionano                    5012           2              10024               
fedelmente                    5013           2              10026               
lauratezza                    5014           2              10028               
rimuovere                     5015           2              10030               
proteio                       5016           2              10032               
aessorie                      5017           2              10034               
virale                        5018           2              10036               
dnadipendenti                 5019           2              10038               
operano                       5020           2              10040               
regolatorie                   5021           2              10042               
interagise                    5022           2              10044               
oupano                        5023           2              10046               
romosomii                     5024           2              10048               
rossingover                   5025           2              10050               
leffiienza                    5026           2              10052               
ondividono                    5027           2              10054               
omologhe                      5028           2              10056               
dannose                       5029           2              10058               
riombinasi                    5030           2              10060               
passaggi                      5031           2              10062               
holliday                      5032           2              10064               
interrotta                    5033           2              10066               
dimostrata                    5034           2              10068               
metabolismo                   5035           2              10070               
dibattuta                     5036           2              10072               
gioato                        5037           2              10074               
anestrale                     5038           2              10076               
uninfluenza                   5039           2              10078               
onosono                       5040           2              10080               
reuperare                     5041           2              10082               
allisolamento                 5042           2              10084               
sale                          5043           2              10086               
assemblati                    5044           2              10088               
sangue                        5045           2              10090               
fluidi                        5046           2              10092               
